Unnamed: 0,course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills,course_summary,course_description,language_code
401,Generative AI with Large Language Models,DeepLearning.AI,Course,1 - 4 Weeks,5.0,29,Intermediate,https://www.coursera.org/learn/generative-ai-with-llms,"38,552","['Generative AI', 'LLMs', 'large language models', 'Machine Learning', 'Python Programming']","['What generative AI is and how it works, its common use cases, and what this technology can and cannot do.', 'How to think through the lifecycle of a generative AI project, from conception to launch, including how to build effective prompts.', 'The potential opportunities and risks that generative AI technologies present to individuals, businesses, and society.']","Instructed by AI pioneer Andrew Ng, Generative AI for Everyone offers his unique perspective on empowering you and your work with generative AI. Andrew will guide you through how generative AI works and what it can (and can’t) do. It includes hands-on exercises where you'll learn to use generative AI to help in day-to-day work and receive tips on effective prompt engineering, as well as learning how to go beyond prompting for more advanced uses of AI.
You’ll get insights into what generative AI can do, its potential, and its limitations. You’ll delve into real-world applications and learn common use cases. You’ll get hands-on time with generative AI projects to put your knowledge into action and gain insight into its impact on both business and society. 

This course was created to ensure everyone can be a participant in our AI-powered future.
",en
465,Healthier Materials and Sustainable Building,"Parsons School of Design, The New School",Specialization,1 - 3 Months,5.0,9,Intermediate,https://www.coursera.org/specializations/healthier-materials-and-sustainable-building,,"['Environmental Impacts of Design', 'Sustainability', 'Green Design', 'Materials', 'Health Transparency and Disclosures']","['Examine the human health, environmental, and social impacts of design materials', 'Create healthier alternative approaches to traditional material selection processes and project execution', 'Evaluate design project communication to promote transparency, healthier materials, and buy-in']","In the Healthier Materials and Sustainable Building specialization, you learn about healthier building materials, exploring subjects ranging from classification of toxic chemicals to new green innovations. You start by investigating the intersection of building materials and human health. Then, you learn how chemistry and toxicology affect the built world. Next, you examine design specifications from a healthier materials perspective. Finally, you employ cutting-edge practices to execute a healthier materials project, from design to construction to the use phase. This specialization was developed by the Healthy Materials LabOpens in a new tab at Parsons School of Design, a leading voice in the national and international dialogue about sustainability in the built environment.
Applied Learning Project
In each course in this specialization, you dive deeper into human health, healthier materials,  and healthier approaches to project design. For each project, you research, analyze, and synthesize topics and participate in peer review, with the goal of sharing perspectives with fellow learners. You apply healthier materials approaches to research and the setup and execution of projects. Each project challenges your current thinking, encouraging you to apply a healthier materials approach and confront environmental challenges in a professional context.
",en
431,Google Data Analytics Capstone: Complete a Case Study,Google,Course,1 - 4 Weeks,4.9,2.8k,Beginner,https://www.coursera.org/learn/google-data-analytics-capstone,"46,522","['Job portfolio', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'case study']","['Conheça as práticas e os processos utilizados por um analista de dados júnior ou associado no trabalho cotidiano.', 'Aprenda as principais habilidades analíticas (limpeza, análise e visualização de dados) e ferramentas (planilhas, SQL, programação em R, Tableau)\xa0', 'Entenda como limpar e organizar dados para análise e como completar análises e cálculos usando planilhas, SQL e programação em R', 'Aprenda como visualizar e apresentar descobertas de dados em painéis, apresentações e plataformas de visualização usados com frequência']","Prepare-se para uma nova carreira na área de análise de dados, sem necessidade de experiência ou graduação. Receba treinamento profissional desenvolvido pelo Google e tenha a oportunidade de se conectar com os melhores empregadores. 
Análise de dados é a coleta, transformação e organização de dados para tirar conclusões, fazer previsões e orientar a tomada de decisão informada.
Ao longo de oito cursos, você desenvolverá as habilidades necessárias para conquistar um trabalho de início de carreira na área. Você aprenderá com funcionários do Google que melhoraram as próprias carreiras com a base em análise de dados que tinham. O certificado pode ser concluído em menos de seis meses, com menos de 10 horas por semana.
Você se preparará para trabalhos como: analista de dados júnior ou associado, administrador de banco de dados e muito mais. Após a conclusão do certificado, você estará apto a se candidatar a vagas no mercado de trabalho.
75% dos alunos que obtêm os Certificados do Google nos Estados Unidos relatam uma melhora em suas carreiras dentro de um intervalo de 6 meses após a obtenção da certificação.
Veja todos os Certificados de Carreira do Google aquiOpens in a new tab.
Fonte: *baseado nas respostas de pesquisa com os graduados pelo programa, Estados Unidos, 2021
Applied Learning Project
Este programa inclui mais de 180 horas de instrução e centenas de avaliações com base em situações reais, que ajudarão você a simular cenários de análise de dados essenciais para o sucesso no  trabalho. O conteúdo é bastante interativo e foi desenvolvido  por especialistas do Google com experiência em análise de dados. Com uma combinação de vídeos, avaliações e laboratórios práticos, você conhecerá as plataformas e ferramentas de análise e as principais habilidades necessárias para conquistar um trabalho de início de carreira.
As habilidades que você desenvolverá incluem: limpeza de dados, solução de problemas, pensamento crítico, ética de dados e visualização de dados
As plataformas e ferramentas que você aprenderá incluem: apresentações, planilhas, SQL, Tableau e programação em Rocê também concluirá um estudo de caso que poderá compartilhar com empregadores em potencial para mostrar suas novas habilidades. Desenvolva habilidades exigidas pelos melhores empregadores atualmente.
",en
316,Excel to MySQL: Analytic Techniques for Business,Duke University,Specialization,3 - 6 Months,4.9,16.5k,Beginner,https://www.coursera.org/specializations/excel-mysql,"320,976","['Business Analytics', 'Microsoft Excel', 'Business Analysis', 'Business Communication', 'Data Analysis', 'Big Data', 'Tableau Software', 'Data Visualization (DataViz)', 'Binary Classification', 'MySQL', 'SQL']",[],"Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. In the United States alone, millions of job advertisements requiring Excel skills are posted every day. Research by Burning Glass Technologies and Capital One shows that digitals skills lead to higher income and better employment opportunities at a time when digital skills job are growing much faster than non-digital jobs.
In this second course of our Excel specialization Excel Skills for Business you will build on the strong foundations of the Essentials course. Intermediate Skills I will expand your Excel knowledge to new horizons. You are going to discover a whole range of skills and techniques that will become a standard component of your everyday use of Excel. In this course, you will build a solid layer of more advanced skills so you can manage large datasets and create meaningful reports. These key techniques and tools will allow you to add a sophisticated layer of automation and efficiency to your everyday tasks in Excel.

Once again, we have brought together a great teaching team that will be with you every step of the way. Prashan and Nicky will guide you through each week (and I am even going to make a guest appearance in Week 5 to help you learn about my favourite tool in Excel - shh, no spoilers!). Work through each new challenge step-by-step and in no time you will surprise yourself by how far you have come. This time around, we are going to follow Uma's trials and tribulations as she is trying to find her feet in a new position in the fictitious company PushPin. For those of you who have done the Essentials course, you will already be familiar with the company. Working through her challenges which are all too common ones that we encounter everyday, will help you to more easily relate to the skills and techniques learned in each week and apply them to familiar and new contexts.
",en
603,Introduction to Public Relations and the Media,University of Colorado Boulder,Specialization,3 - 6 Months,4.9,27k,Beginner,https://www.coursera.org/specializations/introduction-to-public-relations-and-the-media,"1,205,091","['Press Release', 'Public Relations', 'Branding', 'Influencers']",[],"What are people most afraid of? What do our dreams mean? Are we natural-born racists? What makes us happy? What are the causes and cures of mental illness? This course tries to answer these questions and many others, providing a comprehensive overview of the scientific study of thought and behavior. It explores topics such as perception, communication, learning, memory, decision-making, persuasion, emotions, and social behavior.  We will look at how these aspects of the mind develop in children, how they differ across people, how they are wired-up in the brain, and how they break down due to illness and injury.
",en
602,Introduction to Psychology,Yale University,Course,1 - 3 Months,4.9,4.9k,Beginner,https://www.coursera.org/learn/introduction-psychology,"466,038","['reasoning', 'Problem Solving', 'abstract thinking', 'analytical thinking', 'Critical Thinking']",[],"This course will highlight the most interesting experiments within the field of psychology, discussing the implications of those studies for our understanding of the human mind and human behavior.  We will explore the brain and some of the cognitive abilities it supports like memory, learning, attention, perception and consciousness.  We will examine human development - both in terms of growing up and growing old - and will discuss the manner in which the behavior of others affect our own thoughts and behavior.  Finally we will discuss various forms of mental illness and the treatments that are used to help those who suffer from them.   
The fact of the matter is that humans routinely do amazing things without appreciating how interesting they are.  However, we are also routinely influenced by people and events without always being aware of those influences.  By the end of this course you will have gained a much better understanding and appreciation of who you are and how you work.  And I can guarantee you that you'll learn things that you'll be telling your friends and family about, things that will fundamentally change the way you think of yourself and others.  How can you resist that?!
",en
594,Introduction to Operations Management,University of Pennsylvania,Course,1 - 4 Weeks,4.9,4.7k,Beginner,https://www.coursera.org/learn/wharton-operations,"538,610","['Process Management', 'Operations Management', 'Six Sigma', 'Inventory']",[],"This course will help you be a better negotiator. Unlike many negotiation courses, we develop a framework for analyzing and shaping negotiations. This framework will allow you to make principled arguments that persuade others. It will allow you to see beneath the surface of apparent conflicts to uncover the underlying interests. You will leave the course better able to predict, interpret, and shape the behavior of those you face in competitive situations.
In this course, you will have several opportunities to negotiate with other students using case studies based on common situations in business and in life. You can get feedback on your performance and compare what you did to how others approached the same scenario. The cases also provide a setting to discuss a wide-ranging set of topics including preparing for a negotiation, making ultimatums, avoiding regret, expanding the pie, and dealing with someone who has a very different perspective on the world. Advanced topics include negotiating when you have no power, negotiating over email, and the role of gender differences in negotiation. To close out the course, we will hear insights from three negotiation experts: Linda Babcock, Herb Cohen, and John McCall MacBain. Enjoy.
",en
391,Fundraising and Development,"University of California, Davis",Specialization,3 - 6 Months,4.9,463,Beginner,https://www.coursera.org/specializations/fundraising-development,"20,187",['Fundraising'],"['Describir las responsabilidades de un/a coordinador/a de marketing digital y un/a analista de comercio electrónico de nivel inicial (o similar).', 'Describir las responsabilidades laborales de un/a coordinador/a de marketing digital y un/a analista de comercio electrónico de nivel inicial', 'Explicar el concepto del embudo de marketing', 'Comprender los elementos y objetivos de una estrategia de marketing digital y comercio electrónico']","Este es el primero de los siete cursos del Certificado de Carrera de Google en Marketing Digital y Comercio Electrónico, que te brindará las habilidades que necesitas para acceder a puestos de marketing digital y comercio electrónico de nivel inicial. Las personas que trabajan en marketing digital y comercio electrónico ayudan a las empresas a atraer nuevos/as clientes, interactúan con ellos y ellas a través de distintos canales digitales y buscan impulsar ventas y crear fidelidad. En este curso, descubrirás diferentes puestos de trabajo de nivel inicial en marketing digital y comercio electrónico e identificarás los roles y funciones que se llevan a cabo en estos sectores. También aprenderás sobre el embudo de marketing y cómo se utiliza para guiar el recorrido de los y las clientes. 
Te guiarán especialistas de Google, que actualmente trabajan en estos sectores, con actividades prácticas y ejemplos que simulan tareas comunes y frecuentes de marketing digital y comercio electrónico. Todo esto te ayudará a desarrollar tus habilidades y prepararte para trabajar. 

Las y los estudiantes que completen los siete cursos de este programa estarán en condiciones de solicitar trabajos como coordinadores/as de marketing digital o especialistas en comercio electrónico en un nivel inicial. No necesitas contar con experiencia previa en el área.

Al final de este curso, podrás: 
- Definir qué son el marketing digital y el comercio electrónico
- Describir las responsabilidades laborales de un/a coordinador/a de marketing digital o analista de comercio electrónico de nivel inicial (y/o cargos similares) 
- Saber cómo este programa te ayudará a prepararte para una carrera en marketing digital y/o comercio electrónico
- Identificar los roles y funciones que desempeñan el marketing digital y comercio electrónico dentro de una empresa
- Comprender cada paso del recorrido del cliente y saber para qué sirven los mapas del recorrido
- Explicar el concepto de embudo de marketing
- Comprender los elementos y objetivos de una estrategia de marketing digital y comercio electrónico
",en
823,"Python Functions, Files, and Dictionaries",University of Michigan,Course,1 - 3 Months,4.9,5.1k,Beginner,https://www.coursera.org/learn/python-functions-files-dictionaries,"111,924","['Data Structure', 'Python Programming', 'Data Evaluation', 'Code Debugging']","['Explore the dictionary data structure and user-defined functions in Python.', 'Understand concepts like local and global variables, parameter-passing techniques, named functions, and lambda expressions.', ""Apply Python's sorted function and control sorting order with custom functions."", 'Create a final project involving social media data analysis and CSV file manipulation.']","This course introduces the dictionary data structure and user-defined functions. You’ll learn about local and global variables, optional and keyword parameter-passing, named functions and lambda expressions. You’ll also learn about Python’s sorted function and how to control the order in which it sorts by passing in another function as an input. For your final project, you’ll read in simulated social media data from a file, compute sentiment scores, and write out .csv files. It covers chapters 10-16 of the textbook “Fundamentals of Python Programming,” which is the accompanying text (optional and free) for this course.
The course is well-suited for you if you have already taken the ""Python Basics"" course and want to gain further fundamental knowledge of the Python language. Together, both courses are geared towards newcomers to Python programming, those who need a refresher on Python basics, or those who may have had some exposure to Python programming but want a more in-depth exposition and vocabulary for describing and reasoning about programs.

This is a follow-up to the ""Python Basics"" course (course 1 of the Python 3 Programming Specialization), and it is the second of five courses in the specialization.
",en
822,Python Data Structures,University of Michigan,Course,1 - 3 Months,4.9,93.9k,Beginner,https://www.coursera.org/learn/python-data,"996,497","['Python Syntax And Semantics', 'Data Structure', 'Tuple', 'Python Programming']","['Explain the principles of data structures & how they are used', 'Create programs that are able to read and write data from files', 'Store data as key/value pairs using Python dictionaries', 'Accomplish multi-step tasks like sorting or looping using tuples']","This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook “Python for Everybody”.  This course covers Python 3.
",en
